p,AIC,BIC,HQIC,nobs_used
1,-49.6802611482247,-49.6796204017623,-49.680072150242665,190200
2,-49.69164619087538,-49.690524879251235,-49.691315442763376,190199
3,-49.69437693939375,-49.69277505805213,-49.693904439743086,190198
4,-49.6952314664023,-49.693149010787394,-49.694617213804264,190197
5,-49.69600610795251,-49.693443073508455,-49.69525010099839,190196
6,-49.698176625131886,-49.69513300730273,-49.697278862412915,190195
7,-49.69818958564223,-49.69466537987197,-49.697150065749646,190194
8,-49.69814517780361,-49.69414037953617,-49.696963899328615,190193
9,-49.70040454255697,-49.695919147236204,-49.69908150409074,190192
10,-49.702185822343644,-49.69721982541334,-49.70072102247735,190191
11,-49.702181240355316,-49.6967346372592,-49.7005746776801,190190
12,-49.70256285862036,-49.69663564480208,-49.70081453172734,190189
13,-49.702837075342515,-49.69642924624565,-49.700946982822785,190188
14,-49.702841421526095,-49.695952972594164,-49.70080956197074,190187
15,-49.702920536636476,-49.69555146331293,-49.700746908636546,190186
16,-49.70298712722509,-49.69513742495331,-49.70067172937162,190185
17,-49.702995634559116,-49.694665298782404,-49.70053846544312,190184
18,-49.70347494207343,-49.694663968235034,-49.70087600028589,190183
19,-49.713939643359474,-49.704648026902575,-49.71119892749136,190182
20,-49.714791737558656,-49.70501947392636,-49.711909246200925,190181
