p,AIC,BIC,HQIC,nobs_used
1,-47.08751047800733,-47.08687121912699,-47.08732193997525,190691
2,-47.09246570775373,-47.09134699942404,-47.09213576456233,190690
3,-47.09549151849107,-47.093893356178455,-47.09502016873869,190689
4,-47.154672552636804,-47.152594931807606,-47.15405979492174,190688
5,-47.163905207729435,-47.16134812384993,-47.163151040649986,190687
6,-47.16680152586622,-47.163764974402646,-47.16590594802065,190686
7,-47.167566746814764,-47.16405072323325,-47.16652975680132,190685
8,-47.17187784258312,-47.167882342349756,-47.170699439000025,190684
9,-47.17580565781877,-47.17133067639956,-47.17448583926423,190683
10,-47.17667775320638,-47.17172328606728,-47.175216518278575,190682
