Ticker,sector,industry,country,employees
A,Healthcare,Diagnostics & Research,United States,18000
AAPL,Technology,Consumer Electronics,United States,150000
ABBV,Healthcare,Drug Manufacturers - General,United States,55000
ABNB,Consumer Cyclical,Travel Services,United States,7300
ABT,Healthcare,Medical Devices,United States,114000
ACGL,Financial Services,Insurance - Diversified,Bermuda,7200
ACN,Technology,Information Technology Services,Ireland,791000
ADBE,Technology,Software - Application,United States,30709
ADI,Technology,Semiconductors,United States,24000
ADM,Consumer Defensive,Farm Products,United States,42383
ADP,Technology,Software - Application,United States,67000
ADSK,Technology,Software - Application,United States,15300
AEE,Utilities,Utilities - Regulated Electric,United States,8981
AEP,Utilities,Utilities - Regulated Electric,United States,16330
AES,Utilities,Utilities - Diversified,United States,9100
AFL,Financial Services,Insurance - Life,United States,12694
AIG,Financial Services,Insurance - Diversified,United States,22200
AIZ,Financial Services,Insurance - Property & Casualty,United States,14200
AJG,Financial Services,Insurance Brokers,United States,55493
AKAM,Technology,Software - Infrastructure,United States,10944
ALB,Basic Materials,Specialty Chemicals,United States,8300
ALGN,Healthcare,Medical Instruments & Supplies,United States,21485
ALL,Financial Services,Insurance - Property & Casualty,United States,55000
ALLE,Industrials,Security & Protection Services,Ireland,14400
AMAT,Technology,Semiconductor Equipment & Materials,United States,36100
AMCR,Consumer Cyclical,Packaging & Containers,Switzerland,77000
AMD,Technology,Semiconductors,United States,28000
AME,Industrials,Specialty Industrial Machinery,United States,21500
AMGN,Healthcare,Drug Manufacturers - General,United States,28000
AMP,Financial Services,Asset Management,United States,13600
AMT,Real Estate,REIT - Specialty,United States,4691
AMZN,Consumer Cyclical,Internet Retail,United States,1546000
ANET,Technology,Computer Hardware,United States,4412
AON,Financial Services,Insurance Brokers,Ireland,60000
AOS,Industrials,Specialty Industrial Machinery,United States,12700
APA,Energy,Oil & Gas E&P,United States,2305
APD,Basic Materials,Specialty Chemicals,United States,21850
APH,Technology,Electronic Components,United States,125000
APO,Financial Services,Asset Management,United States,5333
APTV,Consumer Cyclical,Auto Parts,Switzerland,141000
ARE,Real Estate,REIT - Office,United States,552
ATO,Utilities,Utilities - Regulated Gas,United States,5260
AVB,Real Estate,REIT - Residential,United States,2928
AVGO,Technology,Semiconductors,United States,37000
AVY,Consumer Cyclical,Packaging & Containers,United States,35000
AWK,Utilities,Utilities - Regulated Water,United States,6700
AXON,Industrials,Aerospace & Defense,United States,4100
AXP,Financial Services,Credit Services,United States,75100
AZO,Consumer Cyclical,Auto Parts,United States,75600
BA,Industrials,Aerospace & Defense,United States,172000
BAC,Financial Services,Banks - Diversified,United States,213000
BALL,Consumer Cyclical,Packaging & Containers,United States,16000
BAX,Healthcare,Medical Instruments & Supplies,United States,38000
BBWI,Consumer Cyclical,Specialty Retail,United States,8975
BBY,Consumer Cyclical,Specialty Retail,United States,85000
BDX,Healthcare,Medical Instruments & Supplies,United States,70000
BEN,Financial Services,Asset Management,United States,10100
BFB,,,,
BG,Consumer Defensive,Farm Products,United States,37000
BIIB,Healthcare,Drug Manufacturers - General,United States,7605
BK,Financial Services,Banks - Diversified,United States,49900
BKNG,Consumer Cyclical,Travel Services,United States,24800
BKR,Energy,Oil & Gas Equipment & Services,United States,57000
BLDR,Industrials,Building Products & Equipment,United States,29000
BLK,Financial Services,Asset Management,United States,22700
BMY,Healthcare,Drug Manufacturers - General,United States,34100
BR,Technology,Information Technology Services,United States,15000
BRKB,,,,
BRO,Financial Services,Insurance Brokers,United States,17403
BSX,Healthcare,Medical Devices,United States,53000
